t_min,t_max
53512.1156279,53512.1243208
53512.189459,53512.1984756
53512.900754,53512.90078
53512.9345746,53512.9345986
53514.1713453,53514.171936
53514.1731509,53514.1792512
53516.2373523,53516.2424571
53516.2498061,53516.2501652
53517.2522483,53517.2528389
53517.2540538,53517.2601537
53519.0064264,53519.0066148
53519.0153387,53519.0170893
53526.1580931,53526.1632441
53526.1705353,53526.1708945
53531.3704657,53531.3861612
53534.4869938,53534.4998533
53534.5157438,53534.5169134
53565.1613805,53565.1664622
53565.1683134,53565.1686726
53576.9090903,53576.9227599
53579.3420648,53579.3555028
53579.4384422,53579.4391484
53581.8439744,53581.8576351
53589.4279792,53589.4281663
53589.4442637,53589.4457832
53590.6318796,53590.6372621
53591.141,53591.1456417
53603.8895882,53603.8897766
53603.89541,53603.8969295
53609.1232689,53609.1235703
53609.1247852,53609.1312903
53609.4289519,53609.4292558
53609.4895767,53609.4959416
53610.9514633,53610.9516514
53610.9572852,53610.9588044
53612.4225511,53612.4228539
53612.7562782,53612.7580288
53612.8196,53612.8197871
53613.2792178,53613.2795218
53614.0387204,53614.0433621
53615.3442874,53615.3445914
53625.7441142,53625.758733
53627.6778064,53627.6922863
53628.6101905,53628.6246707
53629.1172393,53629.121247
53629.542899,53629.5573789
53630.4755493,53630.4900293
53630.6087786,53630.6232585
53636.1692067,53636.1732144
53638.3385934,53638.351453
53662.079321,53662.0849019
53662.151437,53662.151798
53665.0063022,53665.0199721
53665.165087,53665.1654462
53666.3230152,53666.3270784
53667.092807,53667.0974951
53673.0839529,53673.087958
53676.6323789,53676.6323992
53676.6640337,53676.6640921
53687.4067539,53687.4114637
53688.4717076,53688.4757153
53689.0078072,53689.0118149
53689.3434091,53689.3439997
53689.3470432,53689.354162
53698.652182,53698.6528886
53703.7432357,53703.7437134
53703.7445656,53703.745043
53723.913282,53723.9175186
53723.9799139,53723.9841508
53725.1193005,53725.1235371
53727.117935,53727.1221715
53727.6443816,53727.6486182
53727.8510713,53727.8551345
53730.3804231,53730.3943245
53730.8466616,53730.860563
53732.8448676,53732.8587689
53734.5766616,53734.590563
53735.8928654,53735.9067675
53736.7145563,53736.7185613
53737.824951,53737.8388524
53739.5021617,53739.5061668
53740.7707366,53740.7846379
53743.5523932,53743.5662942
53747.8888862,53747.9022087
53748.3619302,53748.3659353
53750.4954836,53750.5022304
53755.7089095,53755.7165257
53755.7746732,53755.7826716
53756.0522891,53756.0609816
53756.0628213,53756.0715142
53758.8158306,53758.8222201
53759.8398584,53759.8462479
53762.0970809,53762.097556
53768.6202524,53768.6270008
53768.6954491,53768.7021975
53774.6936435,53774.6941212
53774.6949746,53774.6954523
53777.364778,53777.3688408
53779.5345346,53779.5397434
53785.8098357,53785.8101371
53785.8954143,53785.8957156
53786.8911073,53786.900379
53787.3575557,53787.3668271
53790.3385395,53790.3427748
53793.7968265,53793.8020353
53794.6628913,53794.6681001
53795.4646391,53795.4698479
53795.5889561,53795.5941649
53796.6544076,53796.6596164
53800.8008897,53800.8022326
53805.5388527,53805.5439574
53806.0105771,53806.0152189
53817.6098018,53817.6138651
53818.4622326,53818.475011
53818.5768041,53818.5776262
53818.64634,53818.6502873
53818.7860981,53818.7900454
53818.9257741,53818.9297214
53819.9250449,53819.9289922
53820.7847671,53820.7887144
53821.2457742,53821.2497215
53826.7363531,53826.7376959
53835.6384593,53835.6387056
53835.7050785,53835.7053248
53835.9049293,53835.9051755
53835.9715497,53835.9717956
53836.2380079,53836.2381385
53836.3046168,53836.304863
53836.7043275,53836.7045737
53836.7739456,53836.7740759
53839.988413,53839.9931244
53841.4473716,53841.4513793
53841.768309,53841.768333
53841.7917927,53841.7918104
53850.8389576,53850.8513542
53851.637835,53851.6502316
53851.7709713,53851.7833679
53851.9041173,53851.9165149
53852.636388,53852.6487845
53852.7695246,53852.7819212
53852.9026728,53852.9150694
53853.0653694,53853.0693745
53853.6349413,53853.6473379
53853.768078,53853.7804745
53853.9011913,53853.9135879
53854.5668857,53854.5792823
53854.7000109,53854.7124075
53854.8331357,53854.8455323
53855.565358,53855.5777545
53855.6984832,53855.7108797
